,Id,Texto,Sentimento,Timestamp,Usuario,Plataforma,Hashtags,Retweets,Curtidas,Pais,Ano,Mes,Dia,Hora
30,32,Viagem de fim de semana para explorar vistas panorâmicas.,Positivo,2023-01-24 17:30:00, RoadTripper  ,Instagram, #RoadTrip #ScenicViews                  ,18.0,35.0,Reino Unido,2023,1,24,17
31,33,Apreciando uma xícara de chá e observando o pôr do sol.,Positivo,2023-01-25 18:00:00, SunsetWatcher,Twitter, #TeaTime #Sunset                       ,15.0,30.0,India,2023,1,25,18
32,34,Codificando um novo projeto com entusiasmo.,Positivo,2023-01-25 13:15:00, CodeEnthusiast,Facebook, #Coding #Enthusiasm                   ,30.0,60.0,EUA,2023,1,25,13
33,35,Sentindo-se inspirado depois de participar de um workshop.,Positivo,2023-01-26 09:45:00, WorkshopAttendee,Instagram, #Inspiration #Workshop                  ,25.0,50.0,EUA,2023,1,26,9
34,36,Dia de esportes de inverno no parque local.,Positivo,2023-01-26 14:20:00, WinterSports  ,Twitter, #WinterSports #Fun                     ,15.0,30.0,Canadá,2023,1,26,14
35,37,Tempo de qualidade com a família neste fim de semana.,Positivo,2023-01-26 17:40:00, FamilyTime   ,Facebook, #FamilyTime #Weekend                    ,22.0,45.0,Reino Unido,2023,1,26,17
36,38,Participando de um concerto de música ao vivo esta noite.,Positivo,2023-01-27 20:00:00, MusicLover   ,Instagram, #Music #ConcertNight                  ,18.0,35.0,EUA,2023,1,27,20
37,39,Praticando mindfulness com meditação.,Positivo,2023-01-27 12:30:00, MindfulMoments,Twitter, #Mindfulness #Meditation               ,15.0,30.0,India,2023,1,27,12
38,40,Experimentando uma nova receita de sobremesa.,Positivo,2023-01-27 16:10:00, DessertExplorer,Facebook, #Dessert #Cooking                      ,12.0,25.0,Canadá,2023,1,27,16
39,41,Animado com o próximo torneio de jogos.,Positivo,2023-01-28 09:00:00, GamingEnthusiast,Instagram, #Gaming #Tournament                     ,30.0,60.0,EUA,2023,1,28,9
40,42,Planejando uma reforma no jardim para a primavera.,Positivo,2023-01-28 14:45:00, GardenPlanner ,Twitter, #Gardening #Spring                     ,25.0,50.0,EUA,2023,1,28,14
41,43,Comemorando o aniversário de um amigo esta noite! 🎂,Positivo,2023-01-28 19:30:00, BirthdayBash ,Facebook, #Birthday #Celebration                  ,15.0,30.0,Reino Unido,2023,1,28,19
42,44,Sentindo-se realizado após um dia produtivo.,Positivo,2023-01-29 17:00:00, ProductivityWin,Instagram, #Accomplished #Success               ,22.0,45.0,India,2023,1,29,17
43,45,Uma noite aconchegante com um bom filme.,Positivo,2023-01-29 20:20:00, MovieNight   ,Twitter, #CozyNight #MovieTime                   ,18.0,35.0,Canadá,2023,1,29,20
44,46,Explorando galerias de arte locais neste fim de semana.,Positivo,2023-01-30 11:30:00, ArtExplorer  ,Facebook, #Art #GalleryExplore                    ,15.0,30.0,EUA,2023,1,30,11
45,47,Lançamento de novo livro do meu autor favorito!,Positivo,2023-01-30 15:45:00, BookwormX    ,Instagram, #BookRelease #FavoriteAuthor           ,12.0,25.0,Reino Unido,2023,1,30,15
46,48,Participando de um encontro de realidade virtual.,Positivo,2023-01-30 18:30:00, VRMeetup     ,Twitter, #VRMeetup #VirtualReality               ,28.0,55.0,India,2023,1,30,18
47,49,Refletindo sobre a beleza da natureza.,Positivo,2023-01-31 10:45:00, NatureLover  ,Facebook, #Nature #Reflection                     ,15.0,30.0,Austrália,2023,1,31,10
48,50,Preparando um jantar especial para seus entes queridos.,Positivo,2023-01-31 19:00:00, ChefAtHome   ,Instagram, #Cooking #SpecialDinner                ,20.0,40.0,EUA,2023,1,31,19
49,51,Sinto-me otimista em relação à próxima semana.,Positivo,2023-01-31 16:20:00, OptimisticMindset,Twitter, #Optimism #NewWeek                     ,15.0,30.0,Canadá,2023,1,31,16
50,52,Começando um novo desafio de fitness amanhã! 💪,Positivo,2023-02-01 08:00:00, FitnessChallenge,Facebook, #FitnessChallenge #NewBeginnings       ,22.0,45.0,Reino Unido,2023,2,1,8
51,53,Passeio de bicicleta aos domingos por trilhas pitorescas.,Positivo,2023-02-01 13:30:00, BikeExplorer  ,Instagram, #BikeRide #ScenicTrails                ,18.0,35.0,EUA,2023,2,1,13
52,55,Não posso acreditar na injustiça que está acontecendo em nossa sociedade.,Raiva,2023-02-11 09:30:00, SocialJustice   ,Twitter, #Injustice #Angry                            ,20.0,40.0,Canadá,2023,2,11,9
53,56,Sentir uma sensação de medo depois de assistir a um filme de suspense.,Medo,2023-02-11 21:15:00, ThrillerFan     ,Instagram, #Fear #ThrillerMovie                         ,15.0,30.0,EUA,2023,2,11,21
54,57,Com o coração partido depois de ouvir a notícia sobre um desastre natural.,Tristeza,2023-02-12 14:45:00, EmpathyFirst    ,Facebook, #Sadness #NaturalDisaster                    ,25.0,50.0,India,2023,2,12,14
55,58,O estado do meio ambiente mundial é simplesmente nojento.,Nojo,2023-02-12 18:20:00, EcoAwareness    ,Twitter, #Disgust #Environment                        ,18.0,35.0,Reino Unido,2023,2,12,18
56,59,Felicidade pura: comemorar a conquista de um ente querido!,Felicidade,2023-02-13 10:00:00, ProudFriend     ,Instagram, #Happiness #Celebration                   ,30.0,60.0,EUA,2023,2,13,10
57,60,Rir é o melhor remédio – curtir um show de comédia.,Alegria,2023-02-13 19:30:00, ComedyFan       ,Facebook, #Joy #ComedyShow                             ,22.0,45.0,Canadá,2023,2,13,19
58,61,Compartilhando amor e vibrações positivas com todos! ❤️,Amor,2023-02-14 08:30:00, LoveSpreader    ,Twitter, #Love #SpreadLove                            ,15.0,30.0,Austrália,2023,2,14,8
59,62,Um incidente divertido alegrou meu dia!,Divergência,2023-02-14 14:20:00, AmusedSoul      ,Instagram, #Amusement #FunTimes                         ,18.0,35.0,Reino Unido,2023,2,14,14
60,63,Desfrutando de uma noite tranquila com um livro e um chá.,Enjoyment,2023-02-14 19:45:00, BookLoverAgain  ,Facebook, #Enjoyment #BookTime                         ,25.0,50.0,Canadá,2023,2,14,19
61,64,Admirando a beleza da natureza durante uma caminhada tranquila.,Admiração,2023-02-15 11:30:00, NatureAdmirer   ,Twitter, #Admiration #Nature                         ,20.0,40.0,EUA,2023,2,15,11
62,65,Enviando vibrações afetuosas para todos os meus seguidores!,Afeto,2023-02-15 16:00:00, AffectionSender ,Instagram, #Affection #PositiveVibes                   ,15.0,30.0,EUA,2023,2,15,16
63,66,Experimentando admiração pelo pôr do sol de tirar o fôlego.,Deslumbramento,2023-02-15 20:30:00, AweStruck       ,Facebook, #Awe #Breathtaking                          ,22.0,45.0,Austrália,2023,2,15,20
64,67,Decepcionado com o serviço em um restaurante local.,Decepcionado,2023-02-16 09:00:00, FoodieGoneWrong ,Twitter, #Disappointed #BadService                   ,18.0,35.0,India,2023,2,16,9
65,68,Um presente surpresa de um amigo fez o meu dia!,Surpresa,2023-02-16 14:45:00, HappySurprise   ,Instagram, #Surprise #Gift                              ,25.0,50.0,EUA,2023,2,16,14
66,69,Encontrar aceitação em meio aos desafios da vida.,Aceitação,2023-02-16 18:20:00, AcceptanceSeeker,Facebook, #Acceptance #Challenges                     ,15.0,30.0,Canadá,2023,2,16,18
67,70,Transbordando de adoração pelo meu adorável animal de estimação! 🐾,Adoração,2023-02-17 10:45:00, PetAdorer       ,Twitter, #Adoration #PetLove                         ,22.0,45.0,Reino Unido,2023,2,17,10
68,71,Antecipando uma aventura emocionante nas próximas semanas.,Antecipação,2023-02-17 07:30:00, AdventureAwaits  ,Instagram, #Anticipation #Adventure                    ,20.0,40.0,EUA,2023,2,17,7
69,72,Uma experiência amarga se transformou em uma lição valiosa.,Amargo,2023-02-17 15:00:00, LearnFromBitter ,Facebook, #BitterLesson #Growth                      ,18.0,35.0,EUA,2023,2,17,15
70,73,Encontrar calma no meio de um dia agitado.,Calma,2023-02-18 09:30:00, ZenMaster       ,Twitter, #Calmness #PeacefulMind                    ,15.0,30.0,India,2023,2,18,9
71,74,A confusão obscurece minha mente enquanto navego pelas decisões.,Confusão,2023-02-18 14:20:00, ConfusedMind    ,Instagram, #Confusion #DecisionMaking                 ,25.0,50.0,Reino Unido,2023,2,18,14
72,75,A emoção aumenta para as próximas férias!,Excitement,2023-02-18 18:45:00, VacationDreamer ,Facebook, #Excitement #TravelPlans                   ,22.0,45.0,Canadá,2023,2,18,18
73,76,A bondade testemunhada hoje restaurou minha fé na humanidade.,Gentil,2023-02-19 11:30:00, KindnessPrevails,Twitter, #Kindness #Humanity                        ,20.0,40.0,EUA,2023,2,19,11
74,77,Orgulho por alcançar um marco pessoal.,Orgulho,2023-02-19 16:00:00, PersonalAchiever,Instagram, #Pride #Milestone                           ,30.0,60.0,Austrália,2023,2,19,16
75,78,Um momento de vergonha por não se levantar contra a injustiça.,Vergonha,2023-02-19 19:45:00, ReflectiveSelf  ,Facebook, #Shame #Injustice                           ,15.0,30.0,India,2023,2,19,19
76,79,Furioso de raiva depois de uma discussão acalorada.,Raiva,2023-02-20 09:30:00, AngryDebater    ,Twitter, #Anger #Argument                             ,20.0,40.0,Canadá,2023,2,20,9
77,80,O medo do desconhecido está me mantendo acordado à noite.,Medo,2023-02-20 21:15:00, FearfulDreamer  ,Instagram, #Fear #Unknown                               ,15.0,30.0,EUA,2023,2,20,21
78,81,Tristeza sincera após se despedir de um amigo querido.,Tristeza,2023-02-21 14:45:00, FarewellHeart   ,Facebook, #Sadness #Farewell                          ,25.0,50.0,India,2023,2,21,14
79,82,O estado de corrupção em nossa sociedade é totalmente repugnante.,Nojo,2023-02-21 18:20:00, AntiCorruption  ,Twitter, #Disgust #Corruption                         ,18.0,35.0,Reino Unido,2023,2,21,18
80,83,Felicidade transbordante: receber um novo membro da família!,Felicidade,2023-02-22 10:00:00, NewParentJoy    ,Instagram, #Happiness #NewFamilyMember                 ,30.0,60.0,Reino Unido,2023,2,22,10
81,84,O riso é a chave para a alegria – assistir a um show de comédia stand-up.,Alegria,2023-02-22 19:30:00, StandUpFan      ,Facebook, #Joy #StandUpComedy                         ,22.0,45.0,Canadá,2023,2,22,19
82,85,Enviando amor a todos os meus seguidores neste lindo dia! ❤️,Amor,2023-02-23 08:30:00, LoveSender      ,Twitter, #Love #SpreadLove                            ,15.0,30.0,Austrália,2023,2,23,8
83,86,Divertido com as travessuras do meu animal de estimação – é pura diversão!,Divergência,2023-02-23 14:20:00, PetAmuser       ,Instagram, #Amusement #PetAntics                       ,18.0,35.0,Reino Unido,2023,2,23,14
84,87,Aproveitando cada momento desta viagem – pura diversão!,Enjoyment,2023-02-23 19:45:00, TravelExplorer  ,Facebook, #Enjoyment #Travel                           ,25.0,50.0,EUA,2023,2,23,19
85,88,Admirando a dedicação dos voluntários de uma instituição de caridade local.,Admiração,2023-02-24 11:30:00, CharityAdmirer  ,Twitter, #Admiration #Volunteers                     ,20.0,40.0,EUA,2023,2,24,11
86,89,Enviando vibrações afetuosas para amigos e familiares.,Afeto,2023-02-24 16:00:00, FamilyLover     ,Instagram, #Affection #FamilyLove                      ,15.0,30.0,EUA,2023,2,24,16
87,90,Impressionado com a beleza do céu noturno.,Deslumbramento,2023-02-24 20:30:00, Stargazer       ,Facebook, #Awe #StarryNight                        ,22.0,45.0,Austrália,2023,2,24,20
88,91,Decepcionado com a falta de progresso em um projeto pessoal.,Decepcionado,2023-02-25 09:00:00, ProjectStruggle ,Twitter, #Disappointed #Project                     ,18.0,35.0,India,2023,2,25,9
89,92,A visita surpresa de um velho amigo trouxe lágrimas de alegria.,Surpresa,2023-02-25 14:45:00, JoyfulReunion   ,Instagram, #Surprise #OldFriends                       ,25.0,50.0,EUA,2023,2,25,14
90,93,Abraçando a aceitação dos altos e baixos da vida.,Aceitação,2023-02-25 18:20:00, LifeAcceptance  ,Facebook, #Acceptance #LifeJourney                   ,15.0,30.0,Canadá,2023,2,25,18
91,94,Adoração transbordante por um lindo cachorrinho resgatado! 🐶,Adoração,2023-02-26 10:45:00, PuppyAdmirer    ,Twitter, #Adoration #PuppyLove                       ,22.0,45.0,Reino Unido,2023,2,26,10
92,95,Antecipando o lançamento de um filme muito aguardado.,Antecipação,2023-02-26 07:30:00, MovieBuff2      ,Instagram, #Anticipation #MovieRelease                 ,20.0,40.0,Austrália,2023,2,26,7
93,96,Experiência amarga no departamento de atendimento ao cliente.,Amargo,2023-02-26 15:00:00, CustomerWoes    ,Facebook, #BitterExperience #CustomerService         ,18.0,35.0,EUA,2023,2,26,15
94,97,Encontrar calma em meio ao caos da vida cotidiana.,Calma,2023-02-27 09:30:00, CalmSoul        ,Twitter, #Calmness #InnerPeace                      ,15.0,30.0,India,2023,2,27,9
95,98,A confusão reina enquanto tento entender os acontecimentos recentes.,Confusão,2023-02-27 14:20:00, ConfusedMind2   ,Instagram, #Confusion #MakingSense                    ,25.0,50.0,Reino Unido,2023,2,27,14
96,99,A emoção aumenta para uma festa surpresa de aniversário.,Excitement,2023-02-27 18:45:00, BirthdayExcite  ,Facebook, #Excitement #SurpriseParty                 ,22.0,45.0,Canadá,2023,2,27,18
97,100,Testemunhei um ato de bondade que fez o meu dia.,Gentil,2023-02-28 11:30:00, KindnessObserver,Twitter, #Kindness #ActsOfKindness                  ,20.0,40.0,EUA,2023,2,28,11
98,101,Orgulho em completar um desafio desafiador de condicionamento físico.,Orgulho,2023-02-28 16:00:00, FitAchiever     ,Instagram, #Pride #FitnessChallengeCompleted          ,30.0,60.0,Reino Unido,2023,2,28,16
99,102,Um momento de vergonha por não se manifestar contra a injustiça.,Vergonha,2023-02-28 19:45:00, ReflectiveSelf2 ,Facebook, #Shame #Injustice                           ,15.0,30.0,India,2023,2,28,19
100,103,Refletindo sobre a beleza da diversidade em nosso mundo.,Aceitação,2023-03-01 10:45:00, DiversityLover  ,Twitter, #Acceptance #Diversity                      ,22.0,45.0,Austrália,2023,3,1,10
101,104,Emoção para uma noite tranquila com um bom livro.,Excitement,2023-03-01 13:30:00, BookwormJoy     ,Instagram, #Excitement #BookTime                       ,18.0,35.0,EUA,2023,3,1,13
102,105,Sentindo-se amargurado com a injustiça no local de trabalho.,Amargo,2023-03-01 17:45:00, WorkplaceWoes   ,Twitter, #Bitter #Unfairness                         ,15.0,30.0,Canadá,2023,3,1,17
103,106,A calma prevalece enquanto pratico a atenção plena.,Calma,2023-03-02 18:00:00, MindfulMe       ,Facebook, #Calmness #Mindfulness                      ,15.0,30.0,Reino Unido,2023,3,2,18
104,107,A confusão me cerca enquanto navego pelas escolhas da vida.,Confusão,2023-03-02 13:15:00, ConfusedMind3   ,Instagram, #Confusion #LifeChoices                     ,30.0,60.0,EUA,2023,3,2,13
105,108,Entusiasmo para uma viagem de fim de semana para explorar novos lugares.,Excitement,2023-03-02 16:45:00, RoadTripper2    ,Twitter, #Excitement #WeekendAdventure               ,25.0,50.0,India,2023,3,2,16
106,109,A bondade testemunhada hoje restaura minha fé na humanidade.,Gentil,2023-03-03 11:30:00, KindnessPrevails2,Facebook, #Kindness #HumanityRestored                 ,22.0,45.0,EUA,2023,3,3,11
107,110,Orgulho em alcançar objetivos pessoais e profissionais.,Orgulho,2023-03-03 14:30:00, GoalAchiever    ,Instagram, #Pride #Accomplishments                     ,12.0,25.0,Canadá,2023,3,3,14
108,111,Vergonha por não ser fiel aos meus valores em uma situação difícil.,Vergonha,2023-03-03 12:00:00, ReflectiveSelf3 ,Twitter, #Shame #Integrity                           ,15.0,30.0,Reino Unido,2023,3,3,12
109,112,"Revisitando memórias antigas, sentindo uma sensação de euforia.",Euforia,2010-05-15 15:30:00, NostalgiaFan    ,Twitter, #Elation #Memories                             ,20.0,40.0,Canadá,2010,5,15,15
110,113,A vitória do nosso time trouxe euforia para a cidade.,Euforia,2021-08-10 21:15:00, SportsFanatic   ,Instagram, #Euphoria #Victory                             ,15.0,30.0,EUA,2021,8,10,21
111,114,"Abraçando a beleza da natureza, um momento de contentamento.",Contentamento,2011-06-20 14:45:00, NatureLover2    ,Facebook, #Contentment #Nature                           ,25.0,50.0,India,2011,6,20,14
112,115,"Meditando à beira do lago sereno, encontrando a paz interior.",Serenidade,2022-02-12 18:20:00, ZenMaster2      ,Twitter, #Serenity #Meditation                          ,18.0,35.0,Reino Unido,2022,2,12,18
113,116,Transbordando de gratidão pelas bênçãos da vida.,Gratitude,2012-11-25 10:00:00, ThankfulHeart   ,Instagram, #Gratitude #Blessed                            ,30.0,60.0,Austrália,2012,11,25,10
114,117,"Esperançoso por um amanhã melhor, apesar dos desafios.",Esperança,2013-04-05 19:30:00, OptimisticSoul  ,Facebook, #Hope #Optimism                                ,22.0,45.0,EUA,2013,4,5,19
115,118,Capacitado para fazer a diferença em minha comunidade.,Empoderamento,2014-09-14 08:30:00, CommunityLeader ,Twitter, #Empowerment #Community                        ,15.0,30.0,Reino Unido,2014,9,14,8
116,119,Compaixão em ação: apoiando um evento beneficente local.,Compaixão,2015-07-18 14:20:00, CharitySupporter,Instagram, #Compassion #CharityEvent                   ,18.0,35.0,Canadá,2015,7,18,14
117,120,"Um momento de ternura, de conexão com os entes queridos.",Ternura,2016-02-23 19:45:00, LovingHeart     ,Facebook, #Tenderness #FamilyTime                       ,25.0,50.0,Reino Unido,2016,2,23,19
118,121,Excitação de excitação enquanto aguardo um anúncio especial.,Excitação,2017-10-30 11:30:00, ExcitementFan   ,Twitter, #Arousal #Excitement                           ,20.0,40.0,Austrália,2017,10,30,11
119,122,Mergulhando com entusiasmo em um novo projeto.,Entusiasmo,2018-06-15 16:00:00, ProjectEnthusiast,Instagram, #Enthusiasm #NewProject                       ,15.0,30.0,EUA,2018,6,15,16
120,123,Sentir uma sensação de realização depois de atingir um marco.,Realização,2019-03-28 18:20:00, MilestoneAchiever,Facebook, #Fulfillment #Milestone                       ,22.0,45.0,India,2019,3,28,18
121,124,Reverência pela beleza de um marco histórico.,Reverence,2019-11-11 15:00:00, HistoryLover    ,Twitter, #Reverence #History                           ,18.0,35.0,Reino Unido,2019,11,11,15
122,125,Exaltação após um reencontro surpresa com velhos amigos.,Euforia,2020-04-02 09:30:00, JoyfulReunion2  ,Instagram, #Elation #OldFriends                          ,25.0,50.0,Canadá,2020,4,2,9
123,126,A euforia de um concerto de música ao vivo sob as estrelas.,Euforia,2021-06-19 14:45:00, MusicEnthusiast ,Facebook, #Euphoria #LiveMusic                          ,15.0,30.0,EUA,2021,6,19,14
124,127,Contentamento na simplicidade de um domingo tranquilo.,Contentamento,2010-08-15 10:00:00, SimpleJoys      ,Twitter, #Contentment #SundayMood                      ,30.0,60.0,Austrália,2010,8,15,10
125,128,Serenidade encontrada nas páginas de um livro favorito.,Serenidade,2011-09-22 19:30:00, BookLover3      ,Instagram, #Serenity #BookTime                           ,22.0,45.0,Reino Unido,2011,9,22,19
126,129,Gratidão pelo apoio recebido em tempos difíceis.,Gratitude,2012-03-10 08:30:00, SupportiveFriend,Facebook, #Gratitude #Supportive                        ,15.0,30.0,India,2012,3,10,8
127,130,Esperançoso com as possibilidades de uma nova jornada.,Esperança,2013-12-05 16:00:00, JourneyOptimist ,Twitter, #Hope #NewBeginnings                          ,18.0,35.0,Canadá,2013,12,5,16
128,131,Empoderamento por meio do aprendizado e do crescimento pessoal.,Empoderamento,2014-07-20 11:30:00, GrowthSeeker    ,Instagram, #Empowerment #PersonalGrowth                  ,25.0,50.0,EUA,2014,7,20,11
129,132,Compaixão para com os necessitados durante as férias.,Compaixão,2015-12-22 14:20:00, HolidayHelper   ,Facebook, #Compassion #HolidaySupport                   ,18.0,35.0,EUA,2015,12,22,14
130,133,Ternura no calor de uma noite aconchegante de inverno.,Ternura,2016-02-10 19:45:00, WinterWarmth    ,Twitter, #Tenderness #CozyEvening                     ,25.0,50.0,Reino Unido,2016,2,10,19
131,134,Despertar de entusiasmo para uma próxima aventura.,Excitação,2017-04-30 11:30:00, AdventureAwaits ,Instagram, #Arousal #AdventureTime                       ,20.0,40.0,Austrália,2017,4,30,11
132,135,Entusiasmo por um projeto criativo em formação.,Entusiasmo,2018-09-15 16:00:00, CreativeSpirit  ,Facebook, #Enthusiasm #Creativity                       ,15.0,30.0,Canadá,2018,9,15,16
133,136,Realização em completar uma rotina de exercícios desafiadora.,Realização,2019-06-28 18:20:00, FitnessAchiever ,Twitter, #Fulfillment #FitnessGoals                   ,22.0,45.0,India,2019,6,28,18
134,137,Reverência pela arte exibida em um museu.,Reverence,2020-11-11 15:00:00, ArtAppreciator  ,Instagram, #Reverence #ArtAppreciation                  ,18.0,35.0,Reino Unido,2020,11,11,15
135,138,Euforia depois de atingir um objetivo pessoal.,Euforia,2021-03-02 09:30:00, GoalAchiever2   ,Facebook, #Elation #PersonalAchievement                ,25.0,50.0,EUA,2021,3,2,9
136,139,Exaltação por descobrir uma joia escondida na cidade.,Euforia,2012-02-18 14:30:00, UrbanExplorer2  ,Twitter, #Elation #HiddenGem                            ,20.0,40.0,EUA,2012,2,18,14
137,140,A euforia de uma comemoração surpresa de aniversário.,Euforia,2018-11-05 21:45:00, BirthdayJoy     ,Instagram, #Euphoria #BirthdaySurprise                   ,15.0,30.0,Reino Unido,2018,11,5,21
138,141,Contentamento na simplicidade de uma refeição caseira.,Contentamento,2015-09-12 13:20:00, HomeChef        ,Facebook, #Contentment #HomeCooking                     ,25.0,50.0,India,2015,9,12,13
139,142,Serenidade encontrada na melodia de um piano tranquilo.,Serenidade,2016-07-30 18:10:00, MusicLover4     ,Twitter, #Serenity #PeacefulMelody                    ,18.0,35.0,Canadá,2016,7,30,18
140,143,Gratidão pela comunidade solidária ao meu redor.,Gratitude,2013-04-20 10:30:00, CommunityLove   ,Instagram, #Gratitude #CommunitySupport                   ,30.0,60.0,EUA,2013,4,20,10
141,144,Esperançoso com as perspectivas de um novo empreendimento comercial.,Esperança,2017-12-08 19:15:00, EntrepreneurHope,Facebook, #Hope #BusinessVenture                        ,22.0,45.0,Canadá,2017,12,8,19
142,145,Empoderamento por meio de mentoria e orientação de outras pessoas.,Empoderamento,2014-06-03 08:20:00, MentorEmpower   ,Twitter, #Empowerment #Mentorship                      ,15.0,30.0,Reino Unido,2014,6,3,8
143,146,Compaixão demonstrada através de atos de bondade na comunidade.,Compaixão,2019-01-15 14:50:00, KindnessInAction,Instagram, #Compassion #CommunityKindness               ,18.0,35.0,Austrália,2019,1,15,14
